Game,Date,Quarter,Time,Foul,Committing Player,Disadvantaged Player,Decision, Unique Players
1,4/28/2019,Q4,01:59.9,Personal,Green,Capela,CNC,Harden
1,4/28/2019,Q4,01:55.2,Shooting,Iguodala,Harden,CC,Durant
1,4/28/2019,Q4,01:42.3,Personal,Harden,Durant,CNC,Curry
1,4/28/2019,Q4,01:37.0,Personal,Harden,Durant,CNC,Green
1,4/28/2019,Q4,01:26.0,Shooting,Harden,Durant,CC,Rockets
1,4/28/2019,Q4,01:10.6,Personal,Curry,Harden,INC,Paul
1,4/28/2019,Q4,01:09.6,Out of Bounds,Harden,Curry,CC,Tucker
1,4/28/2019,Q4,00:59.3,Personal,Harden,Durant,CNC,Gordon
1,4/28/2019,Q4,00:54.5,Shooting,Harden,Durant,CNC,Warriors
1,4/28/2019,Q4,00:53.5,Loose Ball,Paul,Green,CNC,Thompson
1,4/28/2019,Q4,00:51.9,Traveling,Thompson,Rockets,INC,Iguodala
1,4/28/2019,Q4,00:47.3,Loose Ball,Iguodala,Paul,CNC,Rivers
1,4/28/2019,Q4,00:40.4,Shooting,Thompson,Harden,CC,Livingston
1,4/28/2019,Q4,00:37.2,Offensive,Green,Tucker,CNC,Gerald
1,4/28/2019,Q4,00:10.1,Offensive,Harden,Green,CNC,Looney
1,4/28/2019,Q4,00:10.1,Shooting,Green,Harden,CNC,Capela
1,4/28/2019,Q4,00:06.7,Personal,Thompson,Paul,CNC,
1,4/28/2019,Q4,00:05.2,Personal,Curry,Gordon,INC,
1,4/28/2019,Q4,00:04.4,Out of Bounds,Paul,Curry,CC,
1,4/28/2019,Q4,00:04.4,Technical,Paul,Warriors,CC,
2,5/4/2019,Q4,01:49.8,Traveling,Curry,Rockets,INC,
2,5/4/2019,Q4,01:43.8,Shooting,Capela,Curry,CNC,
2,5/4/2019,Q4,01:36.0,Offensive,Harden,Durant,CNC,
2,5/4/2019,Q4,01:19.5,Shooting,Durant,Harden,CNC,
2,5/4/2019,Q4,01:19.5,Offensive,Harden,Durant,CNC,
2,5/4/2019,Q4,01:05.0,Personal,Green,Paul,CNC,
2,5/4/2019,Q4,01:04.0,Loose Ball,Tucker,Thompson,CNC,
2,5/4/2019,Q4,01:02.0,Loose Ball,Tucker,Curry,CNC,
2,5/4/2019,Q4,00:59.8,24 Second Violation,Rockets,Warriors,CC,
2,5/4/2019,Q4,00:54.5,Offensive,Iguodala,Tucker,CNC,
2,5/4/2019,Q4,00:40.5,Offensive,Gordon,Iguodala,CNC,
2,5/4/2019,Q4,00:38.8,Personal,Curry,Harden,CC,
2,5/4/2019,Q4,00:23.3,Offensive,Green,Gordon,CNC,
2,5/4/2019,Q4,00:21.2,Shooting,Harden,Durant,CNC,
2,5/4/2019,Q4,00:19.1,Loose Ball,Green,Tucker,CNC,
2,5/4/2019,Q4,00:06.4,Offensive,Rivers,Thompson,CNC,
2,5/4/2019,Q4,00:03.5,Defense 3 Second,Green,Rockets,INC,
2,5/4/2019,Q4,00:02.5,Personal,Thompson,Paul,CNC,
2,5/4/2019,Q4,00:01.5,Loose Ball,Paul,Thompson,INC,
2,5/4/2019,Q4,00:01.2,Loose Ball,Harden,Iguodala,CNC,
2,5/4/2019,Q5,01:52.5,Offensive,Iguodala,Rivers,CNC,
2,5/4/2019,Q5,01:50.9,Shooting,Paul,Curry,CNC,
2,5/4/2019,Q5,01:33.0,Personal,Iguodala,Harden,CNC,
2,5/4/2019,Q5,01:31.8,Shooting,Iguodala,Harden,CNC,
2,5/4/2019,Q5,01:31.8,Shooting,Durant,Harden,CNC,
2,5/4/2019,Q5,01:29.0,Out of Bounds,Durant,Rockets,CNC,
2,5/4/2019,Q5,01:18.0,Offensive,Iguodala,Paul,CNC,
2,5/4/2019,Q5,01:04.0,Offensive,Rivers,Iguodala,CNC,
2,5/4/2019,Q5,00:57.1,Offensive,Rivers,Iguodala,CNC,
2,5/4/2019,Q5,00:57.1,Personal,Iguodala,Rivers,CNC,
2,5/4/2019,Q5,00:50.7,Traveling,Harden,Warriors,CNC,
2,5/4/2019,Q5,00:49.0,Offensive,Green,Gordon,CNC,
2,5/4/2019,Q5,00:47.7,Shooting,Rivers,Durant,CC,
2,5/4/2019,Q5,00:27.0,Offensive,Harden,Green,INC,
2,5/4/2019,Q5,00:27.0,Shooting,Iguodala,Harden,CNC,
2,5/4/2019,Q5,00:27.0,Defense 3 Second,Durant,Rockets,CNC,
2,5/4/2019,Q5,00:24.7,Offensive,Green,Rivers,CNC,
2,5/4/2019,Q5,00:10.3,Personal,Thompson,Paul,CNC,
3,5/6/2019,Q4,01:51.1,Shooting,Iguodala,Paul,CNC,
3,5/6/2019,Q4,01:47.3,Personal,Harden,Iguodala,CNC,
3,5/6/2019,Q4,01:42.0,Offensive,Green,Rivers,CNC,
3,5/6/2019,Q4,01:32.0,Personal,Durant,Harden,CNC,
3,5/6/2019,Q4,01:24.9,Offensive,Rivers,Thompson,CNC,
3,5/6/2019,Q4,01:19.0,Offensive,Harden,Thompson,CNC,
3,5/6/2019,Q4,01:18.0,Offensive,Harden,Thompson,INC,
3,5/6/2019,Q4,01:18.0,Defense 3 Second,Green,Rockets,CNC,
3,5/6/2019,Q4,01:18.0,Shooting,Thompson,Harden,CNC,
3,5/6/2019,Q4,01:04.0,Offensive,Paul,Curry,CNC,
3,5/6/2019,Q4,00:55.5,Shooting,Tucker,Green,CNC,
3,5/6/2019,Q4,00:32.4,Defense 3 Second,Iguodala,Warriors,CNC,
3,5/6/2019,Q4,00:31.9,Shooting,Thompson,Harden,CNC,
3,5/6/2019,Q4,00:25.3,Shooting,Tucker,Curry,CNC,
3,5/6/2019,Q4,00:15.3,Personal,Durant,Gordon,CC,
3,5/6/2019,Q4,00:15.1,Away from Play,Thompson,Harden,CNC,
3,5/6/2019,Q4,00:15.1,Away from Play,Iguodala,Paul,CNC,
3,5/6/2019,Q4,00:11.5,Personal,Thompson,Harden,CC,
3,5/6/2019,Q4,00:11.5,Lane,Green,Tucker,CNC,
3,5/6/2019,Q4,00:11.5,Loose Ball,Paul,Iguodala,CNC,
3,5/6/2019,Q4,00:11.1,Offensive,Green,Rivers,CNC,
3,5/6/2019,Q4,00:11.1,Away from Play,Harden,Green,CNC,
3,5/6/2019,Q4,00:11.1,Personal,Tucker,Durant,CNC,
3,5/6/2019,Q4,00:11.1,Offensive,Curry,Tucker,CNC,
3,5/6/2019,Q4,00:11.1,Personal,Tucker,Green,CNC,
3,5/6/2019,Q4,00:07.0,Offensive,Durant,Harden,CNC,
3,5/6/2019,Q4,00:07.0,Loose Ball,Green,Tucker,CNC,
3,5/6/2019,Q4,00:03.7,Offensive,Durant,Harden,CNC,
3,5/6/2019,Q4,00:02.9,Personal,Iguodala,Paul,CC,
3,5/6/2019,Q4,00:02.3,Shooting,Tucker,Durant,CNC,
4,5/8/2019,Q4,01:51.9,Shooting,Green,Capela,CNC,
4,5/8/2019,Q4,01:37.5,Personal,Capela,Curry,CNC,
4,5/8/2019,Q4,01:26.0,Personal,Thompson,Gordon,INC,
4,5/8/2019,Q4,01:17.6,Shooting,Looney,Paul,CNC,
4,5/8/2019,Q4,01:15.0,Personal,Green,Gordon,CC,
4,5/8/2019,Q4,01:01.2,Personal,Gordon,Livingston,CNC,
4,5/8/2019,Q4,01:00.9,Personal,Tucker,Curry,CNC,
4,5/8/2019,Q4,00:53.5,Loose Ball,Looney,Tucker,CNC,
4,5/8/2019,Q4,00:52.5,Shooting,Paul,Curry,CC,
4,5/8/2019,Q4,00:43.1,Personal,Curry,Harden,CNC,
4,5/8/2019,Q4,00:33.9,Personal,Tucker,Thompson,CNC,
4,5/8/2019,Q4,00:27.2,Personal,Gordon,Iguodala,CC,
4,5/8/2019,Q4,00:21.1,Offensive,Capela,Iguodala,CNC,
4,5/8/2019,Q4,00:19.5,Shooting,Looney,Harden,CNC,
4,5/8/2019,Q4,00:11.7,Personal,Paul,Thompson,CNC,
4,5/8/2019,Q4,00:11.3,Stepped Out of Bounds,Thompson,Rockets,CNC,
4,5/8/2019,Q4,00:09.4,Loose Ball,Gordon,Livingston,INC,
4,5/8/2019,Q4,00:05.1,Shooting,Capela,Thompson,CNC,
4,5/8/2019,Q4,00:03.0,Shooting,Curry,Paul,CNC,
5,5/10/2019,Q4,01:59.1,Traveling,Gordon,Warriors,INC,
5,5/10/2019,Q4,01:59.0,Personal,Iguodala,Capela,CNC,
5,5/10/2019,Q4,01:55.2,Traveling,Capela,Warriors,INC,
5,5/10/2019,Q4,01:53.0,Personal,Looney,Capela,CNC,
5,5/10/2019,Q4,01:46.4,3 Second Violation,Capela,Warriors,INC,
5,5/10/2019,Q4,01:36.6,Personal,Tucker,Green,CNC,
5,5/10/2019,Q4,01:29.8,Shooting,Tucker,Curry,CNC,
5,5/10/2019,Q4,01:28.1,Personal,Thompson,Paul,CNC,
5,5/10/2019,Q4,01:22.0,Personal,Paul,Curry,CNC,
5,5/10/2019,Q4,01:21.0,Personal,Tucker,Curry,INC,
5,5/10/2019,Q4,01:16.0,Personal,Gordon,Curry,IC,
5,5/10/2019,Q4,01:16.0,Away from Play,Gordon,Thompson,CNC,
5,5/10/2019,Q4,01:14.0,Personal,Gordon,Thompson,CNC,
5,5/10/2019,Q4,01:11.4,Traveling,Green,Rockets,INC,
5,5/10/2019,Q4,01:10.0,Personal,Tucker,Green,CNC,
5,5/10/2019,Q4,01:01.2,Offensive,Tucker,Iguodala,CNC,
5,5/10/2019,Q4,00:58.8,Shooting,Green,Harden,CNC,
5,5/10/2019,Q4,00:42.7,Personal,Tucker,Green,CNC,
5,5/10/2019,Q4,00:37.8,Shooting,Paul,Thompson,CNC,
5,5/10/2019,Q4,00:33.4,Shooting,Looney,Gerald,CNC,
5,5/10/2019,Q4,00:30.4,Personal,Tucker,Curry,CC,
5,5/10/2019,Q4,00:23.7,Away from Play,Harden,Curry,CNC,
5,5/10/2019,Q4,00:21.7,Personal,Gordon,Curry,CC,
5,5/10/2019,Q4,00:16.8,Offensive,Harden,Looney,CNC,
5,5/10/2019,Q4,00:12.3,Personal,Rivers,Curry,CC,
5,5/10/2019,Q4,00:10.6,Personal,Looney,Harden,CNC,
5,5/10/2019,Q4,00:08.9,Personal,Paul,Iguodala,CC,
5,5/10/2019,Q4,00:07.8,Loose Ball,Looney,Tucker,CNC,
5,5/10/2019,Q4,00:02.4,Personal,Harden,Curry,CC,
